com1_title,com1_review,com1_salary,com1_interview,com1_photo,grade_star,real_salary
百度,11321,15286,21032,165,4.3,10000
腾讯,1587,4760,7646,25,4.4,11580
阿里巴巴,1596,4266,7192,41,4.3,10000
京东,1553,2433,5901,26,3.9,7720
中软国际,2017,5075,3690,10,3.0,6804
东软集团,1329,7027,1905,8,3.5,5950
软通动力,1547,6453,2350,6,3.3,7250
IBM,750,5014,1530,12,4.1,12035
百度糯米,2004,1649,2710,13,4.0,5000
美团网,1101,1584,3246,10,3.9,5393
com1_title,com1_review,com1_salary,com1_interview,com1_photo,grade_star,real_salary
文思海辉,1122,3578,1558,6,3.3,7250
网易,885,2204,2633,15,4.3,8400
用友软件,684,4247,1106,3,3.7,8090
新浪,577,3512,1305,8,3.9,8000
神州数码,544,3780,929,4,3.5,7527
亚信(AsiaInfo),931,3368,1198,6,3.7,8052
携程旅行网,920,1858,1876,22,3.8,5800
58同城,751,1717,2012,15,3.6,4525
去哪儿网,1022,1266,2218,12,3.9,6000
微软中国（Microsoft）,391,2826,917,6,4.3,14520
